MOVIE_ID,TITLE,RELEASE_YEAR,IMDB_ID,TMDB_ID
1,Toy Story,1995,0114709,862
2,Jumanji,1995,0113497,8844
3,Grumpier Old Men,1995,0113228,15602
4,Waiting to Exhale,1995,0114885,31357
5,Father of the Bride Part II,1995,0113041,11862
6,Heat,1995,0113277,949
7,Sabrina,1995,0114319,11860
8,Tom and Huck,1995,0112302,45325
9,Sudden Death,1995,0114576,9091
10,GoldenEye,1995,0113189,710
11,"American President, The",1995,0112346,9087
12,Dracula: Dead and Loving It,1995,0112896,12110
13,Balto,1995,0112453,21032
14,Nixon,1995,0113987,10858
15,Cutthroat Island,1995,0112760,1408
16,Casino,1995,0112641,524
17,Sense and Sensibility,1995,0114388,4584
18,Four Rooms,1995,0113101,5
19,Ace Ventura: When Nature Calls,1995,0112281,9273
20,Money Train,1995,0113845,11517
21,Get Shorty,1995,0113161,8012
22,Copycat,1995,0112722,1710
23,Assassins,1995,0112401,9691
24,Powder,1995,0114168,12665
25,Leaving Las Vegas,1995,0113627,451
26,Othello,1995,0114057,16420
27,Now and Then,1995,0114011,9263
28,Persuasion,1995,0114117,17015
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,0112682,902
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,0115012,37557
31,Dangerous Minds,1995,0112792,9909
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,0114746,63
33,Wings of Courage,1995,0114952,78802
34,Babe,1995,0112431,9598
35,Carrington,1995,0112637,47018
36,Dead Man Walking,1995,0112818,687
37,Across the Sea of Time,1995,0112286,139405
38,It Takes Two,1995,0113442,33689
39,Clueless,1995,0112697,9603
40,"Cry, the Beloved Country",1995,0112749,34615
41,Richard III,1995,0114279,31174
42,Dead Presidents,1995,0112819,11443
43,Restoration,1995,0114272,35196
44,Mortal Kombat,1995,0113855,9312
45,To Die For,1995,0114681,577
46,How to Make an American Quilt,1995,0113347,11861
47,Seven (a.k.a. Se7en),1995,0114369,807
48,Pocahontas,1995,0114148,10530
49,When Night Is Falling,1995,0114916,8391
50,"Usual Suspects, The",1995,0114814,629
